date,Redlands Count_Person_Employed
1990-01,28158
1990-02,28473
1990-03,28732
1990-04,28446
1990-05,28540
1990-06,28821
1990-07,28340
1990-08,28082
1990-09,27945
1990-10,28400
1990-11,28410
1990-12,28581
1991-01,28328
1991-02,28167
1991-03,28231
1991-04,28221
1991-05,28093
1991-06,28264
1991-07,28130
1991-08,27636
1991-09,27608
1991-10,27980
1991-11,28015
1991-12,28136
1992-01,28703
1992-02,28593
1992-03,28821
1992-04,28598
1992-05,28588
1992-06,28844
1992-07,28514
1992-08,28263
1992-09,28202
1992-10,28610
1992-11,28788
1992-12,29007
1993-01,28716
1993-02,28760
1993-03,28904
1993-04,28694
1993-05,28764
1993-06,28919
1993-07,28664
1993-08,28553
1993-09,28500
1993-10,28992
1993-11,29258
1993-12,29519
1994-01,28803
1994-02,28832
1994-03,28880
1994-04,28759
1994-05,29086
1994-06,29013
1994-07,28771
1994-08,28770
1994-09,28858
1994-10,29272
1994-11,29472
1994-12,29734
1995-01,29587
1995-02,29632
1995-03,29952
1995-04,29712
1995-05,29707
1995-06,29480
1995-07,29268
1995-08,29024
1995-09,29113
1995-10,29499
1995-11,29643
1995-12,29698
1996-01,29502
1996-02,29649
1996-03,29905
1996-04,29702
1996-05,29780
1996-06,29818
1996-07,29566
1996-08,29562
1996-09,29771
1996-10,30579
1996-11,30616
1996-12,30892
1997-01,30756
1997-02,30884
1997-03,31257
1997-04,31071
1997-05,31222
1997-06,31298
1997-07,31082
1997-08,30796
1997-09,31037
1997-10,31550
1997-11,31827
1997-12,31970
1998-01,31693
1998-02,31804
1998-03,31993
1998-04,31871
1998-05,32019
1998-06,32161
1998-07,32148
1998-08,31931
1998-09,32140
1998-10,32778
1998-11,33119
1998-12,33466
1999-01,33148
1999-02,33259
1999-03,33451
1999-04,33294
1999-05,33438
1999-06,33644
1999-07,33875
1999-08,33754
1999-09,33735
1999-10,34426
1999-11,34734
1999-12,35133
2000-01,31033
2000-02,31101
2000-03,31221
2000-04,31189
2000-05,31179
2000-06,31164
2000-07,30898
2000-08,30825
2000-09,30988
2000-10,31433
2000-11,31595
2000-12,31908
2001-01,31885
2001-02,31815
2001-03,31960
2001-04,31756
2001-05,31857
2001-06,31916
2001-07,32045
2001-08,31651
2001-09,32013
2001-10,32306
2001-11,32463
2001-12,32687
2002-01,32274
2002-02,32571
2002-03,32506
2002-04,32677
2002-05,32785
2002-06,32806
2002-07,32510
2002-08,32549
2002-09,32812
2002-10,33003
2002-11,33129
2002-12,33423
2003-01,32989
2003-02,33052
2003-03,33116
2003-04,33069
2003-05,33137
2003-06,33128
2003-07,33083
2003-08,32951
2003-09,33225
2003-10,33797
2003-11,34021
2003-12,34277
2004-01,34043
2004-02,34130
2004-03,34202
2004-04,34248
2004-05,34366
2004-06,34487
2004-07,34444
2004-08,34499
2004-09,34759
2004-10,35255
2004-11,35520
2004-12,35701
2005-01,35249
2005-02,35364
2005-03,35499
2005-04,35596
2005-05,35666
2005-06,35664
2005-07,35686
2005-08,35684
2005-09,35929
2005-10,36257
2005-11,36353
2005-12,36639
2006-01,36079
2006-02,36098
2006-03,36299
2006-04,36374
2006-05,36209
2006-06,36260
2006-07,36284
